"TOA5","NuuuliBridgeBehindHouse","CR2xx","No_SN","CR200X.Std.02","15min_100times_only.CR2","24549","Data"
"TIMESTAMP","RECORD","Turb_BS_Median","Turb_BS_Mean","Turb_BS_STD","Turb_BS_Min","Turb_BS_Max","Turb_SS_Median","Turb_SS_Mean","Turb_SS_STD","Turb_SS_Min","Turb_SS_Max"
"TS","RN","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2014-05-10 20:30:00",8947,49.55824,49.58892,0.1839263,49.19685,50.25989,2.676516,2.770356,0.576325,2.0795,5.647866
"2014-05-10 20:45:00",8948,49.08141,49.11495,0.1918194,48.58447,49.62644,2.658307,2.800535,0.5128293,2.19167,5.661875
"2014-05-10 21:00:00",8949,49.19685,49.23062,0.1816594,48.70198,49.7803,2.68022,2.83706,0.4938455,2.19506,4.398706
"2014-05-10 21:15:00",8950,49.52866,49.60859,0.3415724,48.71224,51.46051,2.691331,2.966226,1.589368,2.082581,13.63743
"2014-05-10 21:30:00",8951,49.14333,49.15833,0.3021016,48.33027,50.55022,2.917342,3.047342,0.4590817,2.464543,5.502834
"2014-05-10 21:45:00",8952,48.98125,48.97633,0.2088386,48.38806,49.73419,2.830564,2.833169,0.3736545,2.223725,3.709236
"2014-05-10 22:00:00",8953,48.84999,48.8778,0.1843777,48.10536,49.31013,2.968617,3.200911,0.8247608,2.487678,7.981553
"2014-05-10 22:15:00",8954,49.56914,49.5828,0.1957296,49.11346,50.40831,2.894487,2.99389,0.4753867,2.371094,5.587792
"2014-05-10 22:30:00",8955,49.84011,49.85832,0.1888767,49.49036,50.63101,3.321875,3.428193,0.5431252,2.651825,5.400477
"2014-05-10 22:45:00",8956,114.6615,111.6267,27.34538,15.99483,162.7116,3.546752,4.160094,3.028755,2.645653,26.22849
"2014-05-10 23:00:00",8957,50.51404,50.52648,0.1860767,49.78123,51.10852,2.908385,3.00445,0.513318,2.374795,5.398611
"2014-05-10 23:15:00",8958,50.18913,50.16867,0.2472553,49.36491,51.28401,2.905915,3.105404,0.8288051,2.153146,8.659047
"2014-05-10 23:30:00",8959,50.11837,50.13713,0.2135397,49.5461,50.98863,2.744116,2.838585,0.5019722,2.145134,5.007813
"2014-05-10 23:45:00",8960,49.76721,49.75884,0.1650588,49.02013,50.215,2.502177,2.546929,0.2702953,2.037292,3.773323
"2014-05-11 00:00:00",8961,49.25722,49.25553,0.1340737,48.68395,49.64419,2.551847,2.649869,0.5083887,1.986464,5.486655
"2014-05-11 00:15:00",8962,49.83979,49.81293,0.1367006,49.11129,50.03111,2.469479,2.509772,0.2122145,2.091208,3.543967
"2014-05-11 00:30:00",8963,49.70273,49.7045,0.1130424,49.31511,50.0576,2.312201,2.413546,0.3292447,2.038832,4.202726
"2014-05-11 00:45:00",8964,49.84665,49.86213,0.200932,49.38795,50.73678,2.296477,2.352693,0.2032414,1.992316,3.045851
"2014-05-11 01:00:00",8965,49.68997,49.67792,0.1653307,48.75267,50.02643,2.283837,2.370998,0.2606821,2.012031,3.269312
"2014-05-11 01:15:00",8966,49.52524,49.58341,0.2132504,49.09479,50.29419,2.289386,2.398807,0.455575,2.004022,5.348843
"2014-05-11 01:30:00",8967,49.68623,49.68054,0.1523777,49.22454,50.06383,2.471946,2.628974,0.4882487,2.109388,5.247152
