Serial_number:
2016616
Project ID:
UGP 2013-2014
Location:
Forrester Creek
LEVEL
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2014/12/29,16:30:00,0,101.910,27.70
2014/12/29,16:45:00,0,101.759,26.90
2014/12/29,17:00:00,0,101.774,26.80
2014/12/29,17:15:00,0,101.782,26.80
2014/12/29,17:30:00,0,101.766,26.70
2014/12/29,17:45:00,0,101.785,26.70
2014/12/29,18:00:00,0,101.789,26.60
2014/12/29,18:15:00,0,101.805,26.50
2014/12/29,18:30:00,0,101.822,26.50
2014/12/29,18:45:00,0,101.834,26.40
2014/12/29,19:00:00,0,101.811,26.30
2014/12/29,19:15:00,0,101.835,26.30
2014/12/29,19:30:00,0,101.849,26.30
2014/12/29,19:45:00,0,101.860,26.20
2014/12/29,20:00:00,0,101.870,26.20
2014/12/29,20:15:00,0,101.900,26.20
2014/12/29,20:30:00,0,101.928,26.20
2014/12/29,20:45:00,0,101.940,26.10
2014/12/29,21:00:00,0,102.009,26.10
2014/12/29,21:15:00,0,102.134,26.10
2014/12/29,21:30:00,0,102.188,26.10
2014/12/29,21:45:00,0,102.144,26.00
2014/12/29,22:00:00,0,102.117,26.00
2014/12/29,22:15:00,0,102.082,26.00
2014/12/29,22:30:00,0,102.057,26.00
2014/12/29,22:45:00,0,102.029,26.00
2014/12/29,23:00:00,0,101.988,25.90
2014/12/29,23:15:00,0,101.984,25.90
2014/12/29,23:30:00,0,101.958,25.90
2014/12/29,23:45:00,0,101.919,25.90
2014/12/30,00:00:00,0,101.911,25.90
2014/12/30,00:15:00,0,101.885,25.90
2014/12/30,00:30:00,0,101.875,25.90
2014/12/30,00:45:00,0,101.864,25.90
2014/12/30,01:00:00,0,101.823,25.80
2014/12/30,01:15:00,0,101.802,25.80
2014/12/30,01:30:00,0,101.808,25.80
2014/12/30,01:45:00,0,101.794,25.80
2014/12/30,02:00:00,0,101.795,25.80
2014/12/30,02:15:00,0,101.781,25.80
2014/12/30,02:30:00,0,101.770,25.80
2014/12/30,02:45:00,0,101.758,25.70
2014/12/30,03:00:00,0,101.753,25.70
2014/12/30,03:15:00,0,101.754,25.70
2014/12/30,03:30:00,0,101.728,25.70
2014/12/30,03:45:00,0,101.728,25.70
2014/12/30,04:00:00,0,101.709,25.70
2014/12/30,04:15:00,0,101.720,25.70
2014/12/30,04:30:00,0,101.715,25.60
2014/12/30,04:45:00,0,101.731,25.60
2014/12/30,05:00:00,0,101.743,25.60
2014/12/30,05:15:00,0,101.772,25.60
2014/12/30,05:30:00,0,101.783,25.60
2014/12/30,05:45:00,0,101.805,25.60
2014/12/30,06:00:00,0,101.834,25.60
2014/12/30,06:15:00,0,101.832,25.50
2014/12/30,06:30:00,0,101.859,25.50
2014/12/30,06:45:00,0,101.880,25.50
2014/12/30,07:00:00,0,101.898,25.60
2014/12/30,07:15:00,0,101.880,25.60
2014/12/30,07:30:00,0,101.878,25.60
2014/12/30,07:45:00,0,101.866,25.60
