Serial_number:
2013055
Project ID:

Location:

LEVEL
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: _C
Date,Time,ms,LEVEL,TEMPERATURE
2013/03/28,12:30:00,0,102.5580,29.474
2013/03/28,12:45:00,0,102.4640,27.646
2013/03/28,13:00:00,0,102.4540,27.712
2013/03/28,13:15:00,0,102.4330,27.731
2013/03/28,13:30:00,0,102.4240,27.745
2013/03/28,13:45:00,0,102.4200,27.786
2013/03/28,14:00:00,0,102.3890,27.697
2013/03/28,14:15:00,0,102.3690,27.769
2013/03/28,14:30:00,0,102.3400,27.726
2013/03/28,14:45:00,0,102.3190,27.757
2013/03/28,15:00:00,0,102.2990,27.724
2013/03/28,15:15:00,0,102.2960,27.631
2013/03/28,15:30:00,0,102.2960,27.512
2013/03/28,15:45:00,0,102.2730,27.393
2013/03/28,16:00:00,0,102.2730,27.278
2013/03/28,16:15:00,0,102.2970,27.153
2013/03/28,16:30:00,0,102.3000,27.057
2013/03/28,16:45:00,0,102.2900,26.967
2013/03/28,17:00:00,0,102.3060,26.906
2013/03/28,17:15:00,0,102.3190,26.853
2013/03/28,17:30:00,0,102.3310,26.799
2013/03/28,17:45:00,0,102.3590,26.743
2013/03/28,18:00:00,0,102.3490,26.680
2013/03/28,18:15:00,0,102.3720,26.632
2013/03/28,18:30:00,0,102.3970,26.587
2013/03/28,18:45:00,0,102.4210,26.516
2013/03/28,19:00:00,0,102.4240,26.458
2013/03/28,19:15:00,0,102.4220,26.403
2013/03/28,19:30:00,0,102.4350,26.344
2013/03/28,19:45:00,0,102.4510,26.299
2013/03/28,20:00:00,0,102.4700,26.265
2013/03/28,20:15:00,0,102.4910,26.233
2013/03/28,20:30:00,0,102.5200,26.200
2013/03/28,20:45:00,0,102.5120,26.162
2013/03/28,21:00:00,0,102.5350,26.140
2013/03/28,21:15:00,0,102.5390,26.108
2013/03/28,21:30:00,0,102.5610,26.101
2013/03/28,21:45:00,0,102.5790,26.042
2013/03/28,22:00:00,0,102.5870,26.020
2013/03/28,22:15:00,0,102.5970,26.004
2013/03/28,22:30:00,0,102.5870,25.981
2013/03/28,22:45:00,0,102.5920,25.953
2013/03/28,23:00:00,0,102.5910,25.918
2013/03/28,23:15:00,0,102.5800,25.899
2013/03/28,23:30:00,0,102.5780,25.892
2013/03/28,23:45:00,0,102.5710,25.873
2013/03/29,00:00:00,0,102.5560,25.861
2013/03/29,00:15:00,0,102.5470,25.840
2013/03/29,00:30:00,0,102.5470,25.797
2013/03/29,00:45:00,0,102.5380,25.791
2013/03/29,01:00:00,0,102.5300,25.762
2013/03/29,01:15:00,0,102.5070,25.746
2013/03/29,01:30:00,0,102.4880,25.732
2013/03/29,01:45:00,0,102.4800,25.710
2013/03/29,02:00:00,0,102.4650,25.693
2013/03/29,02:15:00,0,102.4570,25.700
2013/03/29,02:30:00,0,102.4460,25.666
2013/03/29,02:45:00,0,102.4270,25.669
2013/03/29,03:00:00,0,102.4220,25.642
2013/03/29,03:15:00,0,102.4140,25.624
2013/03/29,03:30:00,0,102.4130,25.625
2013/03/29,03:45:00,0,102.4130,25.604
2013/03/29,04:00:00,0,102.4250,25.591
2013/03/29,04:15:00,0,102.4380,25.604
2013/03/29,04:30:00,0,102.4290,25.557
2013/03/29,04:45:00,0,102.4350,25.557
2013/03/29,05:00:00,0,102.4330,25.556
2013/03/29,05:15:00,0,102.4340,25.547
