Serial_number:
2009987
Project ID:

Location:

LEVEL
UNIT: kPa
TEMPERATURE
UNIT: _C
Date,Time,ms,LEVEL,TEMPERATURE
2013/03/01,15:15:00,0,104.3040,26.184
2013/03/01,15:30:00,0,104.3450,26.079
2013/03/01,15:45:00,0,104.3520,26.071
2013/03/01,16:00:00,0,104.3510,26.083
2013/03/01,16:15:00,0,104.3390,26.097
2013/03/01,16:30:00,0,104.3370,26.105
2013/03/01,16:45:00,0,104.3280,26.088
2013/03/01,17:00:00,0,104.3290,26.082
2013/03/01,17:15:00,0,104.3300,26.085
2013/03/01,17:30:00,0,104.3430,26.066
2013/03/01,17:45:00,0,104.3570,26.041
2013/03/01,18:00:00,0,104.3770,26.011
2013/03/01,18:15:00,0,104.3850,25.947
2013/03/01,18:30:00,0,104.3250,26.005
2013/03/01,18:45:00,0,104.3370,25.862
2013/03/01,19:00:00,0,104.3440,25.815
2013/03/01,19:15:00,0,104.3520,25.768
2013/03/01,19:30:00,0,104.3810,25.722
2013/03/01,19:45:00,0,104.3970,25.685
2013/03/01,20:00:00,0,104.4130,25.644
2013/03/01,20:15:00,0,104.4360,25.607
2013/03/01,20:30:00,0,104.4660,25.570
2013/03/01,20:45:00,0,104.4810,25.525
2013/03/01,21:00:00,0,104.4860,25.486
2013/03/01,21:15:00,0,104.5020,25.456
2013/03/01,21:30:00,0,104.5140,25.422
2013/03/01,21:45:00,0,104.5320,25.395
2013/03/01,22:00:00,0,104.5300,25.360
2013/03/01,22:15:00,0,104.5380,25.333
2013/03/01,22:30:00,0,104.5460,25.298
2013/03/01,22:45:00,0,104.5360,25.281
2013/03/01,23:00:00,0,104.5220,25.258
2013/03/01,23:15:00,0,104.5180,25.231
2013/03/01,23:30:00,0,104.5130,25.212
2013/03/01,23:45:00,0,104.5010,25.180
2013/03/02,00:00:00,0,104.4870,25.161
2013/03/02,00:15:00,0,104.4770,25.134
2013/03/02,00:30:00,0,104.4750,25.120
2013/03/02,00:45:00,0,104.4700,25.095
2013/03/02,01:00:00,0,104.4590,25.061
2013/03/02,01:15:00,0,104.4420,25.038
2013/03/02,01:30:00,0,104.4350,25.019
2013/03/02,01:45:00,0,104.4170,25.013
2013/03/02,02:00:00,0,104.4070,24.994
2013/03/02,02:15:00,0,104.4020,24.974
2013/03/02,02:30:00,0,104.3960,24.962
2013/03/02,02:45:00,0,104.3870,24.945
2013/03/02,03:00:00,0,104.3950,24.928
2013/03/02,03:15:00,0,104.3820,24.904
2013/03/02,03:30:00,0,104.3720,24.896
2013/03/02,03:45:00,0,104.3740,24.882
2013/03/02,04:00:00,0,104.3820,24.864
2013/03/02,04:15:00,0,104.3820,24.849
2013/03/02,04:30:00,0,104.3730,24.825
2013/03/02,04:45:00,0,104.3770,24.805
2013/03/02,05:00:00,0,104.3820,24.790
2013/03/02,05:15:00,0,104.3960,24.777
2013/03/02,05:30:00,0,104.4160,24.762
2013/03/02,05:45:00,0,104.4150,24.741
2013/03/02,06:00:00,0,104.4270,24.721
2013/03/02,06:15:00,0,104.4370,24.704
2013/03/02,06:30:00,0,104.4440,24.692
2013/03/02,06:45:00,0,104.4530,24.671
2013/03/02,07:00:00,0,104.4490,24.659
2013/03/02,07:15:00,0,104.4580,24.648
2013/03/02,07:30:00,0,104.4660,24.639
2013/03/02,07:45:00,0,104.4680,24.629
2013/03/02,08:00:00,0,104.4710,24.615
2013/03/02,08:15:00,0,104.4730,24.610
2013/03/02,08:30:00,0,104.4740,24.609
2013/03/02,08:45:00,0,104.4860,24.621
2013/03/02,09:00:00,0,104.4670,24.645
2013/03/02,09:15:00,0,104.4740,24.669
2013/03/02,09:30:00,0,104.4800,24.689
2013/03/02,09:45:00,0,104.4850,24.719
2013/03/02,10:00:00,0,104.4790,24.758
2013/03/02,10:15:00,0,104.4800,24.821
2013/03/02,10:30:00,0,104.4790,24.886
2013/03/02,10:45:00,0,104.4590,24.965
2013/03/02,11:00:00,0,104.4590,24.995
2013/03/02,11:15:00,0,104.4530,25.052
2013/03/02,11:30:00,0,104.4970,25.094
2013/03/02,11:45:00,0,104.4710,25.142
2013/03/02,12:00:00,0,104.5030,25.189
2013/03/02,12:15:00,0,104.4970,25.211
2013/03/02,12:30:00,0,104.4680,25.243
2013/03/02,12:45:00,0,104.4270,25.284
2013/03/02,13:00:00,0,104.3880,25.334
2013/03/02,13:15:00,0,104.3630,25.367
2013/03/02,13:30:00,0,104.3450,25.387
2013/03/02,13:45:00,0,104.3270,25.409
2013/03/02,14:00:00,0,104.3130,25.432
2013/03/02,14:15:00,0,104.2920,25.468
2013/03/02,14:30:00,0,104.2950,25.533
2013/03/02,14:45:00,0,104.2740,25.566
2013/03/02,15:00:00,0,104.2700,25.618
2013/03/02,15:15:00,0,104.2710,25.656
2013/03/02,15:30:00,0,104.2650,25.712
2013/03/02,15:45:00,0,104.2430,25.739
2013/03/02,16:00:00,0,104.2250,25.748
2013/03/02,16:15:00,0,104.2260,25.783
2013/03/02,16:30:00,0,104.2290,25.830
2013/03/02,16:45:00,0,104.2250,25.848
2013/03/02,17:00:00,0,104.2240,25.851
2013/03/02,17:15:00,0,104.2290,25.846
2013/03/02,17:30:00,0,104.2330,25.836
2013/03/02,17:45:00,0,104.2360,25.820
2013/03/02,18:00:00,0,104.2500,25.803
2013/03/02,18:15:00,0,104.2590,25.780
2013/03/02,18:30:00,0,104.2700,25.757
2013/03/02,18:45:00,0,104.2970,25.730
2013/03/02,19:00:00,0,104.3130,25.705
2013/03/02,19:15:00,0,104.3290,25.678
2013/03/02,19:30:00,0,104.3400,25.651
2013/03/02,19:45:00,0,104.3600,25.619
2013/03/02,20:00:00,0,104.3750,25.592
2013/03/02,20:15:00,0,104.3890,25.559
2013/03/02,20:30:00,0,104.4050,25.533
2013/03/02,20:45:00,0,104.4210,25.506
2013/03/02,21:00:00,0,104.4410,25.481
2013/03/02,21:15:00,0,104.4570,25.455
2013/03/02,21:30:00,0,104.4940,25.427
2013/03/02,21:45:00,0,104.4920,25.406
2013/03/02,22:00:00,0,104.5040,25.382
2013/03/02,22:15:00,0,104.5170,25.357
2013/03/02,22:30:00,0,104.5100,25.337
2013/03/02,22:45:00,0,104.5130,25.310
2013/03/02,23:00:00,0,104.5170,25.281
2013/03/02,23:15:00,0,104.5120,25.247
2013/03/02,23:30:00,0,104.5010,25.225
2013/03/02,23:45:00,0,104.4820,25.194
2013/03/03,00:00:00,0,104.4760,25.168
2013/03/03,00:15:00,0,104.4770,25.134
2013/03/03,00:30:00,0,104.4640,25.114
2013/03/03,00:45:00,0,104.4530,25.092
2013/03/03,01:00:00,0,104.4500,25.062
2013/03/03,01:15:00,0,104.4280,25.038
2013/03/03,01:30:00,0,104.3970,25.011
2013/03/03,01:45:00,0,104.3720,24.992
2013/03/03,02:00:00,0,104.3590,24.973
2013/03/03,02:15:00,0,104.3360,24.956
2013/03/03,02:30:00,0,104.3160,24.935
2013/03/03,02:45:00,0,104.3250,24.921
2013/03/03,03:00:00,0,104.3160,24.906
2013/03/03,03:15:00,0,104.2910,24.887
2013/03/03,03:30:00,0,104.2970,24.869
2013/03/03,03:45:00,0,104.3000,24.855
2013/03/03,04:00:00,0,104.3080,24.843
2013/03/03,04:15:00,0,104.3000,24.832
2013/03/03,04:30:00,0,104.2940,24.811
2013/03/03,04:45:00,0,104.3010,24.794
2013/03/03,05:00:00,0,104.3130,24.783
2013/03/03,05:15:00,0,104.3180,24.772
2013/03/03,05:30:00,0,104.3360,24.757
2013/03/03,05:45:00,0,104.3340,24.745
2013/03/03,06:00:00,0,104.3330,24.733
2013/03/03,06:15:00,0,104.3340,24.719
2013/03/03,06:30:00,0,104.3360,24.706
2013/03/03,06:45:00,0,104.3660,24.693
2013/03/03,07:00:00,0,104.3860,24.688
2013/03/03,07:15:00,0,104.4040,24.675
2013/03/03,07:30:00,0,104.4080,24.666
2013/03/03,07:45:00,0,104.4330,24.657
2013/03/03,08:00:00,0,104.4470,24.650
2013/03/03,08:15:00,0,104.4730,24.649
2013/03/03,08:30:00,0,104.4790,24.650
2013/03/03,08:45:00,0,104.4890,24.659
2013/03/03,09:00:00,0,104.4880,24.683
2013/03/03,09:15:00,0,104.5030,24.709
2013/03/03,09:30:00,0,104.4950,24.732
2013/03/03,09:45:00,0,104.5110,24.768
2013/03/03,10:00:00,0,104.5080,24.824
2013/03/03,10:15:00,0,104.4960,24.858
2013/03/03,10:30:00,0,104.4900,24.898
2013/03/03,10:45:00,0,104.4920,24.929
2013/03/03,11:00:00,0,104.4840,24.971
2013/03/03,11:15:00,0,104.4850,25.017
2013/03/03,11:30:00,0,104.4690,25.075
2013/03/03,11:45:00,0,104.4510,25.119
2013/03/03,12:00:00,0,104.4380,25.173
2013/03/03,12:15:00,0,104.4370,25.222
2013/03/03,12:30:00,0,104.4120,25.281
2013/03/03,12:45:00,0,104.3960,25.338
2013/03/03,13:00:00,0,104.3990,25.425
2013/03/03,13:15:00,0,104.3780,25.501
2013/03/03,13:30:00,0,104.3490,25.572
2013/03/03,13:45:00,0,104.3370,25.647
2013/03/03,14:00:00,0,104.3210,25.753
2013/03/03,14:15:00,0,104.3090,25.919
2013/03/03,14:30:00,0,104.2940,25.977
2013/03/03,14:45:00,0,104.2770,26.014
2013/03/03,15:00:00,0,104.2820,26.037
2013/03/03,15:15:00,0,104.2760,26.001
2013/03/03,15:30:00,0,104.2780,25.989
2013/03/03,15:45:00,0,104.2800,25.992
2013/03/03,16:00:00,0,104.2810,25.985
2013/03/03,16:15:00,0,104.2850,25.985
2013/03/03,16:30:00,0,104.2750,25.997
2013/03/03,16:45:00,0,104.2820,26.025
2013/03/03,17:00:00,0,104.2850,26.042
2013/03/03,17:15:00,0,104.2920,26.051
2013/03/03,17:30:00,0,104.3050,26.077
2013/03/03,17:45:00,0,104.3190,26.058
2013/03/03,18:00:00,0,104.3360,26.045
2013/03/03,18:15:00,0,104.3390,26.025
2013/03/03,18:30:00,0,104.3560,25.995
2013/03/03,18:45:00,0,104.3740,25.960
2013/03/03,19:00:00,0,104.3750,25.923
2013/03/03,19:15:00,0,104.3970,25.882
2013/03/03,19:30:00,0,104.4090,25.843
2013/03/03,19:45:00,0,104.4250,25.812
2013/03/03,20:00:00,0,104.4280,25.775
2013/03/03,20:15:00,0,104.4360,25.737
2013/03/03,20:30:00,0,104.4520,25.695
