Serial_number:
2013055
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: _C
Date,Time,ms,LEVEL,TEMPERATURE
2013/03/04,11:30:00,0,100.8556,36.537
2013/03/04,11:45:00,0,102.5224,26.840
2013/03/04,12:00:00,0,102.4725,26.918
2013/03/04,12:15:00,0,102.4461,27.034
2013/03/04,12:30:00,0,102.4128,27.236
2013/03/04,12:45:00,0,102.4001,27.295
2013/03/04,13:00:00,0,102.3863,27.446
2013/03/04,13:15:00,0,102.3561,27.472
2013/03/04,13:30:00,0,102.3335,27.552
2013/03/04,13:45:00,0,102.3492,27.461
2013/03/04,14:00:00,0,102.3492,27.448
2013/03/04,14:15:00,0,102.3394,27.483
2013/03/04,14:30:00,0,102.3238,27.550
2013/03/04,14:45:00,0,102.3023,27.584
2013/03/04,15:00:00,0,102.2847,27.607
2013/03/04,15:15:00,0,102.2857,27.620
2013/03/04,15:30:00,0,102.3150,27.600
2013/03/04,15:45:00,0,102.3658,27.501
2013/03/04,16:00:00,0,102.4010,27.457
2013/03/04,16:15:00,0,102.4059,27.426
2013/03/04,16:30:00,0,102.4079,27.302
2013/03/04,16:45:00,0,102.4079,27.262
2013/03/04,17:00:00,0,102.4030,27.199
2013/03/04,17:15:00,0,102.4197,27.137
2013/03/04,17:30:00,0,102.4334,27.074
2013/03/04,17:45:00,0,102.4627,27.005
2013/03/04,18:00:00,0,102.4813,26.957
2013/03/04,18:15:00,0,102.4989,26.900
2013/03/04,18:30:00,0,102.5126,26.831
2013/03/04,18:45:00,0,102.5253,26.766
2013/03/04,19:00:00,0,102.5410,26.698
2013/03/04,19:15:00,0,102.5498,26.636
2013/03/04,19:30:00,0,102.5596,26.582
2013/03/04,19:45:00,0,102.5655,26.536
2013/03/04,20:00:00,0,102.5645,26.481
2013/03/04,20:15:00,0,102.5587,26.445
2013/03/04,20:30:00,0,102.5724,26.388
2013/03/04,20:45:00,0,102.5812,26.347
2013/03/04,21:00:00,0,102.5831,26.312
2013/03/04,21:15:00,0,102.5949,26.288
2013/03/04,21:30:00,0,102.5851,26.251
2013/03/04,21:45:00,0,102.5841,26.220
2013/03/04,22:00:00,0,102.5773,26.204
2013/03/04,22:15:00,0,102.5617,26.182
2013/03/04,22:30:00,0,102.5607,26.167
2013/03/04,22:45:00,0,102.5431,26.135
2013/03/04,23:00:00,0,102.5422,26.113
2013/03/04,23:15:00,0,102.5304,26.087
2013/03/04,23:30:00,0,102.5187,26.071
2013/03/04,23:45:00,0,102.4962,26.060
2013/03/05,00:00:00,0,102.4835,26.043
2013/03/05,00:15:00,0,102.4718,26.026
2013/03/05,00:30:00,0,102.4435,26.015
2013/03/05,00:45:00,0,102.4386,26.003
2013/03/05,01:00:00,0,102.4278,25.978
2013/03/05,01:15:00,0,102.4044,25.976
2013/03/05,01:30:00,0,102.3838,25.960
2013/03/05,01:45:00,0,102.3672,25.950
2013/03/05,02:00:00,0,102.3340,25.936
2013/03/05,02:15:00,0,102.3457,25.922
2013/03/05,02:30:00,0,102.3535,25.911
2013/03/05,02:45:00,0,102.3633,25.889
2013/03/05,03:00:00,0,102.3223,25.868
2013/03/05,03:15:00,0,102.3193,25.856
2013/03/05,03:30:00,0,102.3438,25.861
2013/03/05,03:45:00,0,102.3663,25.844
2013/03/05,04:00:00,0,102.3633,25.844
2013/03/05,04:15:00,0,102.3672,25.828
2013/03/05,04:30:00,0,102.3682,25.818
2013/03/05,04:45:00,0,102.3907,25.807
2013/03/05,05:00:00,0,102.4044,25.785
2013/03/05,05:15:00,0,102.4044,25.788
2013/03/05,05:30:00,0,102.4073,25.783
2013/03/05,05:45:00,0,102.5159,25.772
2013/03/05,06:00:00,0,102.7505,25.755
2013/03/05,06:15:00,0,102.9060,25.692
2013/03/05,06:30:00,0,103.2345,25.609
2013/03/05,06:45:00,0,103.6266,25.422
2013/03/05,07:00:00,0,103.7988,25.332
2013/03/05,07:15:00,0,103.7812,25.267
2013/03/05,07:30:00,0,103.5964,25.234
2013/03/05,07:45:00,0,103.4566,25.224
2013/03/05,08:00:00,0,103.3491,25.226
2013/03/05,08:15:00,0,103.2503,25.235
2013/03/05,08:30:00,0,103.1652,25.265
2013/03/05,08:45:00,0,103.1046,25.284
2013/03/05,09:00:00,0,103.0665,25.306
2013/03/05,09:15:00,0,102.9970,25.344
2013/03/05,09:30:00,0,102.9628,25.413
2013/03/05,09:45:00,0,102.9178,25.459
2013/03/05,10:00:00,0,102.9197,25.494
2013/03/05,10:15:00,0,102.9266,25.516
2013/03/05,10:30:00,0,102.8679,25.566
2013/03/05,10:45:00,0,102.8219,25.630
2013/03/05,11:00:00,0,102.7838,25.646
2013/03/05,11:15:00,0,102.7593,25.655
2013/03/05,11:30:00,0,102.7437,25.667
2013/03/05,11:45:00,0,102.7271,25.696
2013/03/05,12:00:00,0,102.8023,25.707
2013/03/05,12:15:00,0,102.8062,25.794
2013/03/05,12:30:00,0,102.7377,25.839
2013/03/05,12:45:00,0,102.6957,25.934
2013/03/05,13:00:00,0,102.7142,26.027
2013/03/05,13:15:00,0,102.8227,26.060
2013/03/05,13:30:00,0,102.8627,26.187
2013/03/05,13:45:00,0,102.8510,26.217
2013/03/05,14:00:00,0,102.8422,26.240
2013/03/05,14:15:00,0,102.8813,26.280
2013/03/05,14:30:00,0,102.9419,26.264
2013/03/05,14:45:00,0,102.9272,26.208
2013/03/05,15:00:00,0,102.9126,26.186
2013/03/05,15:15:00,0,102.9019,26.147
2013/03/05,15:30:00,0,102.8784,26.093
2013/03/05,15:45:00,0,102.8638,26.045
2013/03/05,16:00:00,0,102.8325,26.008
2013/03/05,16:15:00,0,102.8188,25.981
2013/03/05,16:30:00,0,102.7954,25.951
2013/03/05,16:45:00,0,102.7798,25.939
2013/03/05,17:00:00,0,102.7827,25.926
2013/03/05,17:15:00,0,102.7866,25.901
