Serial_number:
2009987
Project ID:

Location:

LEVEL
UNIT: kPa
TEMPERATURE
UNIT: _C
Date,Time,ms,LEVEL,TEMPERATURE
2014/10/01,11:30:00,0,104.3190,25.196
2014/10/01,11:45:00,0,104.2270,24.795
2014/10/01,12:00:00,0,104.1940,24.751
2014/10/01,12:15:00,0,104.1720,24.762
2014/10/01,12:30:00,0,104.1530,24.782
2014/10/01,12:45:00,0,104.1410,24.837
2014/10/01,13:00:00,0,104.1290,24.859
2014/10/01,13:15:00,0,104.0990,24.889
2014/10/01,13:30:00,0,104.0740,24.922
2014/10/01,13:45:00,0,104.0460,24.958
2014/10/01,14:00:00,0,104.0320,24.983
2014/10/01,14:15:00,0,104.0280,25.008
2014/10/01,14:30:00,0,104.0290,25.034
2014/10/01,14:45:00,0,104.0220,25.080
2014/10/01,15:00:00,0,104.0110,25.120
2014/10/01,15:15:00,0,103.9970,25.151
2014/10/01,15:30:00,0,104.0080,25.167
2014/10/01,15:45:00,0,104.0170,25.199
2014/10/01,16:00:00,0,104.0240,25.201
2014/10/01,16:15:00,0,104.0320,25.204
2014/10/01,16:30:00,0,104.0380,25.204
2014/10/01,16:45:00,0,104.0370,25.211
2014/10/01,17:00:00,0,104.0470,25.202
2014/10/01,17:15:00,0,104.0620,25.206
2014/10/01,17:30:00,0,104.0850,25.197
2014/10/01,17:45:00,0,104.0920,25.193
2014/10/01,18:00:00,0,104.1080,25.191
2014/10/01,18:15:00,0,104.1130,25.177
2014/10/01,18:30:00,0,104.1240,25.171
2014/10/01,18:45:00,0,104.1460,25.155
2014/10/01,19:00:00,0,104.1510,25.140
2014/10/01,19:15:00,0,104.1600,25.119
2014/10/01,19:30:00,0,104.1840,25.097
2014/10/01,19:45:00,0,104.1990,25.075
2014/10/01,20:00:00,0,104.2080,25.054
2014/10/01,20:15:00,0,104.2250,25.033
2014/10/01,20:30:00,0,104.2160,25.012
2014/10/01,20:45:00,0,104.2080,24.988
2014/10/01,21:00:00,0,104.2310,24.962
2014/10/01,21:15:00,0,104.2320,24.949
2014/10/01,21:30:00,0,104.2410,24.921
2014/10/01,21:45:00,0,104.2590,24.894
2014/10/01,22:00:00,0,104.2600,24.873
2014/10/01,22:15:00,0,104.2640,24.852
2014/10/01,22:30:00,0,104.2730,24.830
2014/10/01,22:45:00,0,104.2620,24.820
2014/10/01,23:00:00,0,104.2490,24.804
2014/10/01,23:15:00,0,104.2460,24.777
2014/10/01,23:30:00,0,104.2170,24.767
2014/10/01,23:45:00,0,104.2000,24.763
2014/10/02,00:00:00,0,104.1810,24.750
2014/10/02,00:15:00,0,104.1760,24.740
2014/10/02,00:30:00,0,104.1600,24.732
2014/10/02,00:45:00,0,104.1410,24.720
2014/10/02,01:00:00,0,104.1350,24.709
2014/10/02,01:15:00,0,104.1250,24.708
2014/10/02,01:30:00,0,104.1050,24.703
2014/10/02,01:45:00,0,104.0890,24.693
2014/10/02,02:00:00,0,104.0690,24.682
2014/10/02,02:15:00,0,104.0510,24.675
2014/10/02,02:30:00,0,104.0580,24.672
2014/10/02,02:45:00,0,104.0620,24.661
2014/10/02,03:00:00,0,104.0650,24.649
2014/10/02,03:15:00,0,104.0740,24.641
2014/10/02,03:30:00,0,104.0720,24.631
2014/10/02,03:45:00,0,104.0850,24.626
2014/10/02,04:00:00,0,104.0860,24.618
2014/10/02,04:15:00,0,104.1030,24.603
2014/10/02,04:30:00,0,104.1060,24.597
2014/10/02,04:45:00,0,104.1240,24.588
2014/10/02,05:00:00,0,104.1410,24.587
2014/10/02,05:15:00,0,104.1580,24.578
2014/10/02,05:30:00,0,104.1670,24.574
2014/10/02,05:45:00,0,104.2010,24.566
2014/10/02,06:00:00,0,104.2130,24.559
2014/10/02,06:15:00,0,104.2370,24.556
2014/10/02,06:30:00,0,104.2520,24.556
2014/10/02,06:45:00,0,104.2570,24.552
2014/10/02,07:00:00,0,104.2920,24.549
2014/10/02,07:15:00,0,104.3160,24.546
2014/10/02,07:30:00,0,104.3380,24.548
2014/10/02,07:45:00,0,104.3970,24.551
2014/10/02,08:00:00,0,104.4740,24.555
2014/10/02,08:15:00,0,104.5280,24.560
2014/10/02,08:30:00,0,104.6140,24.572
2014/10/02,08:45:00,0,104.6490,24.585
2014/10/02,09:00:00,0,104.6830,24.599
2014/10/02,09:15:00,0,104.6660,24.611
2014/10/02,09:30:00,0,104.6290,24.620
2014/10/02,09:45:00,0,104.6230,24.637
2014/10/02,10:00:00,0,104.5840,24.655
2014/10/02,10:15:00,0,104.5400,24.683
2014/10/02,10:30:00,0,104.5270,24.716
2014/10/02,10:45:00,0,104.4820,24.758
2014/10/02,11:00:00,0,104.4740,24.798
2014/10/02,11:15:00,0,104.4270,24.842
2014/10/02,11:30:00,0,104.3880,24.895
2014/10/02,11:45:00,0,104.3650,24.951
2014/10/02,12:00:00,0,104.3320,25.000
2014/10/02,12:15:00,0,104.3000,25.059
2014/10/02,12:30:00,0,104.2680,25.112
2014/10/02,12:45:00,0,104.1410,25.139
2014/10/02,13:00:00,0,104.0790,25.149
2014/10/02,13:15:00,0,104.1550,25.156
2014/10/02,13:30:00,0,104.1520,25.198
2014/10/02,13:45:00,0,104.1330,25.225
2014/10/02,14:00:00,0,104.1100,25.268
2014/10/02,14:15:00,0,104.0930,25.321
2014/10/02,14:30:00,0,104.0620,25.358
2014/10/02,14:45:00,0,104.0450,25.421
2014/10/02,15:00:00,0,104.0420,25.468
2014/10/02,15:15:00,0,104.0340,25.511
2014/10/02,15:30:00,0,104.0310,25.541
2014/10/02,15:45:00,0,104.0480,25.573
2014/10/02,16:00:00,0,104.0490,25.598
2014/10/02,16:15:00,0,104.0500,25.617
2014/10/02,16:30:00,0,104.0400,25.634
2014/10/02,16:45:00,0,104.0450,25.645
2014/10/02,17:00:00,0,104.0430,25.650
2014/10/02,17:15:00,0,104.0440,25.650
2014/10/02,17:30:00,0,104.0720,25.643
2014/10/02,17:45:00,0,104.0880,25.635
2014/10/02,18:00:00,0,104.1010,25.625
2014/10/02,18:15:00,0,104.1220,25.614
2014/10/02,18:30:00,0,104.1280,25.602
2014/10/02,18:45:00,0,104.1400,25.588
2014/10/02,19:00:00,0,104.1660,25.572
2014/10/02,19:15:00,0,104.1830,25.558
2014/10/02,19:30:00,0,104.1940,25.541
2014/10/02,19:45:00,0,104.2020,25.517
2014/10/02,20:00:00,0,104.2110,25.496
2014/10/02,20:15:00,0,104.2270,25.485
2014/10/02,20:30:00,0,104.2510,25.463
2014/10/02,20:45:00,0,104.2730,25.439
2014/10/02,21:00:00,0,104.2930,25.413
2014/10/02,21:15:00,0,104.2910,25.395
2014/10/02,21:30:00,0,104.2950,25.378
2014/10/02,21:45:00,0,104.3170,25.361
2014/10/02,22:00:00,0,104.3140,25.344
2014/10/02,22:15:00,0,104.3370,25.339
2014/10/02,22:30:00,0,104.3350,25.329
2014/10/02,22:45:00,0,104.3280,25.320
2014/10/02,23:00:00,0,104.3350,25.305
2014/10/02,23:15:00,0,104.3310,25.289
2014/10/02,23:30:00,0,104.3210,25.271
2014/10/02,23:45:00,0,104.3120,25.256
2014/10/03,00:00:00,0,104.3180,25.244
2014/10/03,00:15:00,0,104.3060,25.230
2014/10/03,00:30:00,0,104.2920,25.221
2014/10/03,00:45:00,0,104.2910,25.215
2014/10/03,01:00:00,0,104.2860,25.200
2014/10/03,01:15:00,0,104.2730,25.182
2014/10/03,01:30:00,0,104.2450,25.168
2014/10/03,01:45:00,0,104.2180,25.156
2014/10/03,02:00:00,0,104.2110,25.143
2014/10/03,02:15:00,0,104.2000,25.135
2014/10/03,02:30:00,0,104.1990,25.132
2014/10/03,02:45:00,0,104.1880,25.133
2014/10/03,03:00:00,0,104.1900,25.130
2014/10/03,03:15:00,0,104.1910,25.121
2014/10/03,03:30:00,0,104.1880,25.118
2014/10/03,03:45:00,0,104.1690,25.111
2014/10/03,04:00:00,0,104.1870,25.103
2014/10/03,04:15:00,0,104.2160,25.096
2014/10/03,04:30:00,0,104.2230,25.089
2014/10/03,04:45:00,0,104.2520,25.067
2014/10/03,05:00:00,0,104.2580,25.059
2014/10/03,05:15:00,0,104.2750,25.048
2014/10/03,05:30:00,0,104.2880,25.043
2014/10/03,05:45:00,0,104.3150,25.038
2014/10/03,06:00:00,0,104.3370,25.029
2014/10/03,06:15:00,0,104.3560,25.028
2014/10/03,06:30:00,0,104.3880,25.020
2014/10/03,06:45:00,0,104.4090,25.019
2014/10/03,07:00:00,0,104.4400,25.019
2014/10/03,07:15:00,0,104.4700,25.017
2014/10/03,07:30:00,0,104.5920,25.014
2014/10/03,07:45:00,0,104.6220,25.007
2014/10/03,08:00:00,0,104.7920,25.003
2014/10/03,08:15:00,0,104.8660,25.001
2014/10/03,08:30:00,0,104.9030,25.000
2014/10/03,08:45:00,0,104.9420,24.997
2014/10/03,09:00:00,0,104.8960,25.004
2014/10/03,09:15:00,0,104.9420,25.012
2014/10/03,09:30:00,0,104.9340,25.017
2014/10/03,09:45:00,0,104.9220,25.027
2014/10/03,10:00:00,0,104.9150,25.042
2014/10/03,10:15:00,0,104.8900,25.054
2014/10/03,10:30:00,0,104.8620,25.066
2014/10/03,10:45:00,0,104.8260,25.082
2014/10/03,11:00:00,0,104.7970,25.099
2014/10/03,11:15:00,0,104.7540,25.117
2014/10/03,11:30:00,0,104.7050,25.133
2014/10/03,11:45:00,0,104.6730,25.147
2014/10/03,12:00:00,0,104.6470,25.156
2014/10/03,12:15:00,0,104.6040,25.172
2014/10/03,12:30:00,0,104.5840,25.191
2014/10/03,12:45:00,0,104.5600,25.211
2014/10/03,13:00:00,0,104.5280,25.230
2014/10/03,13:15:00,0,104.5020,25.248
2014/10/03,13:30:00,0,104.4940,25.270
2014/10/03,13:45:00,0,104.4540,25.293
2014/10/03,14:00:00,0,104.4250,25.313
2014/10/03,14:15:00,0,104.4220,25.338
2014/10/03,14:30:00,0,104.4080,25.355
2014/10/03,14:45:00,0,104.3960,25.372
2014/10/03,15:00:00,0,104.3960,25.389
2014/10/03,15:15:00,0,104.3770,25.407
2014/10/03,15:30:00,0,104.3650,25.418
2014/10/03,15:45:00,0,104.3510,25.422
2014/10/03,16:00:00,0,104.3220,25.423
2014/10/03,16:15:00,0,104.2990,25.419
2014/10/03,16:30:00,0,104.2960,25.415
2014/10/03,16:45:00,0,104.2970,25.409
2014/10/03,17:00:00,0,104.2970,25.406
2014/10/03,17:15:00,0,104.3100,25.403
2014/10/03,17:30:00,0,104.3190,25.395
2014/10/03,17:45:00,0,104.3400,25.388
2014/10/03,18:00:00,0,104.3650,25.382
2014/10/03,18:15:00,0,104.3790,25.375
2014/10/03,18:30:00,0,104.4120,25.365
2014/10/03,18:45:00,0,104.4340,25.352
2014/10/03,19:00:00,0,104.4390,25.333
2014/10/03,19:15:00,0,104.4700,25.317
2014/10/03,19:30:00,0,104.4930,25.304
2014/10/03,19:45:00,0,104.5140,25.290
2014/10/03,20:00:00,0,104.5130,25.275
2014/10/03,20:15:00,0,104.5230,25.266
2014/10/03,20:30:00,0,104.5130,25.257
2014/10/03,20:45:00,0,104.5150,25.245
2014/10/03,21:00:00,0,104.5240,25.236
2014/10/03,21:15:00,0,104.5360,25.227
2014/10/03,21:30:00,0,104.5380,25.213
2014/10/03,21:45:00,0,104.5500,25.203
2014/10/03,22:00:00,0,104.5580,25.201
2014/10/03,22:15:00,0,104.5440,25.201
2014/10/03,22:30:00,0,104.5510,25.187
2014/10/03,22:45:00,0,104.5480,25.176
2014/10/03,23:00:00,0,104.5460,25.174
2014/10/03,23:15:00,0,104.5310,25.164
2014/10/03,23:30:00,0,104.5220,25.160
2014/10/03,23:45:00,0,104.5150,25.139
2014/10/04,00:00:00,0,104.4990,25.124
2014/10/04,00:15:00,0,104.4920,25.104
2014/10/04,00:30:00,0,104.4750,25.098
2014/10/04,00:45:00,0,104.4600,25.084
2014/10/04,01:00:00,0,104.4530,25.064
2014/10/04,01:15:00,0,104.4340,25.049
2014/10/04,01:30:00,0,104.4340,25.033
2014/10/04,01:45:00,0,104.4050,25.022
2014/10/04,02:00:00,0,104.4000,25.016
2014/10/04,02:15:00,0,104.4060,25.012
2014/10/04,02:30:00,0,104.3860,25.002
2014/10/04,02:45:00,0,104.3730,24.998
2014/10/04,03:00:00,0,104.3670,24.994
2014/10/04,03:15:00,0,104.3770,24.994
2014/10/04,03:30:00,0,104.3840,24.976
2014/10/04,03:45:00,0,104.3860,24.960
2014/10/04,04:00:00,0,104.3990,24.934
2014/10/04,04:15:00,0,104.4190,24.919
2014/10/04,04:30:00,0,104.4350,24.904
2014/10/04,04:45:00,0,104.4340,24.906
2014/10/04,05:00:00,0,104.4320,24.898
2014/10/04,05:15:00,0,104.4480,24.885
2014/10/04,05:30:00,0,104.4680,24.885
2014/10/04,05:45:00,0,104.4780,24.878
2014/10/04,06:00:00,0,104.5230,24.817
2014/10/04,06:15:00,0,104.5350,24.806
2014/10/04,06:30:00,0,104.5510,24.778
2014/10/04,06:45:00,0,104.5740,24.757
2014/10/04,07:00:00,0,104.5860,24.754
2014/10/04,07:15:00,0,104.6060,24.739
2014/10/04,07:30:00,0,104.6310,24.740
2014/10/04,07:45:00,0,104.6490,24.714
2014/10/04,08:00:00,0,104.6660,24.707
2014/10/04,08:15:00,0,104.6760,24.713
2014/10/04,08:30:00,0,104.6780,24.703
2014/10/04,08:45:00,0,104.6690,24.701
2014/10/04,09:00:00,0,104.6660,24.699
2014/10/04,09:15:00,0,104.6560,24.699
2014/10/04,09:30:00,0,104.6600,24.705
2014/10/04,09:45:00,0,104.6560,24.716
2014/10/04,10:00:00,0,104.6540,24.730
2014/10/04,10:15:00,0,104.6310,24.747
2014/10/04,10:30:00,0,104.6000,24.764
2014/10/04,10:45:00,0,104.5950,24.784
2014/10/04,11:00:00,0,104.5810,24.799
2014/10/04,11:15:00,0,104.5610,24.816
2014/10/04,11:30:00,0,104.5430,24.834
2014/10/04,11:45:00,0,104.5270,24.845
2014/10/04,12:00:00,0,104.4960,24.860
2014/10/04,12:15:00,0,104.4670,24.889
2014/10/04,12:30:00,0,104.4500,24.916
2014/10/04,12:45:00,0,104.4260,24.940
2014/10/04,13:00:00,0,104.4120,24.967
2014/10/04,13:15:00,0,104.3930,25.003
2014/10/04,13:30:00,0,104.3790,25.046
2014/10/04,13:45:00,0,104.3530,25.084
2014/10/04,14:00:00,0,104.3180,25.113
2014/10/04,14:15:00,0,104.3060,25.133
2014/10/04,14:30:00,0,104.3110,25.168
2014/10/04,14:45:00,0,104.2930,25.198
2014/10/04,15:00:00,0,104.2820,25.217
2014/10/04,15:15:00,0,104.2580,25.251
2014/10/04,15:30:00,0,104.2490,25.279
2014/10/04,15:45:00,0,104.2390,25.306
2014/10/04,16:00:00,0,104.2390,25.329
2014/10/04,16:15:00,0,104.2360,25.354
2014/10/04,16:30:00,0,104.2500,25.371
2014/10/04,16:45:00,0,104.2530,25.389
2014/10/04,17:00:00,0,104.2590,25.407
2014/10/04,17:15:00,0,104.2750,25.418
2014/10/04,17:30:00,0,104.2800,25.421
2014/10/04,17:45:00,0,104.2990,25.420
2014/10/04,18:00:00,0,104.3110,25.416
2014/10/04,18:15:00,0,104.3370,25.406
2014/10/04,18:30:00,0,104.3520,25.392
2014/10/04,18:45:00,0,104.3640,25.378
2014/10/04,19:00:00,0,104.3760,25.363
2014/10/04,19:15:00,0,104.3790,25.350
2014/10/04,19:30:00,0,104.4020,25.335
2014/10/04,19:45:00,0,104.4220,25.320
2014/10/04,20:00:00,0,104.4340,25.303
2014/10/04,20:15:00,0,104.4350,25.285
2014/10/04,20:30:00,0,104.4300,25.265
2014/10/04,20:45:00,0,104.4430,25.250
2014/10/04,21:00:00,0,104.4500,25.232
2014/10/04,21:15:00,0,104.4550,25.220
2014/10/04,21:30:00,0,104.4750,25.200
2014/10/04,21:45:00,0,104.4890,25.183
2014/10/04,22:00:00,0,104.4970,25.169
2014/10/04,22:15:00,0,104.4960,25.156
2014/10/04,22:30:00,0,104.5020,25.140
2014/10/04,22:45:00,0,104.4930,25.126
2014/10/04,23:00:00,0,104.4970,25.114
2014/10/04,23:15:00,0,104.4890,25.098
2014/10/04,23:30:00,0,104.4530,25.090
2014/10/04,23:45:00,0,104.4330,25.081
2014/10/05,00:00:00,0,104.4230,25.060
2014/10/05,00:15:00,0,104.3980,25.049
2014/10/05,00:30:00,0,104.3940,25.039
2014/10/05,00:45:00,0,104.3810,25.028
2014/10/05,01:00:00,0,104.3710,25.013
